trial,cue_time_s,label
1,2.001,RIGHT
2,12.001,LEFT
3,22.002,LEFT
4,32.003,LEFT
5,42.003,RIGHT
6,52.004,RIGHT
7,62.005,LEFT
8,72.005,LEFT
9,82.006,LEFT
10,92.007,LEFT
11,102.007,RIGHT
12,112.008,RIGHT
13,122.009,RIGHT
14,132.01,LEFT
15,142.01,RIGHT
16,152.011,RIGHT
17,162.012,RIGHT
18,172.012,RIGHT
19,182.013,LEFT
20,192.014,LEFT
21,202.014,LEFT
22,212.015,LEFT
23,222.016,LEFT
24,232.016,RIGHT
25,242.017,LEFT
26,252.018,LEFT
27,262.018,LEFT
28,272.019,RIGHT
29,282.02,RIGHT
30,292.02,RIGHT
31,302.021,LEFT
32,312.022,RIGHT
33,322.022,RIGHT
34,332.023,LEFT
35,342.024,RIGHT
36,352.024,LEFT
37,362.025,LEFT
38,372.026,RIGHT
39,382.026,RIGHT
40,392.027,RIGHT
