trial,cue_time_s,label
1,2.001,LEFT
2,12.001,RIGHT
3,22.002,LEFT
4,32.003,LEFT
5,42.003,LEFT
6,52.004,LEFT
7,62.005,RIGHT
8,72.005,LEFT
9,82.006,LEFT
10,92.007,LEFT
11,102.007,LEFT
12,112.008,RIGHT
13,122.009,LEFT
14,132.009,LEFT
15,142.01,LEFT
16,152.011,LEFT
17,162.011,RIGHT
18,172.012,LEFT
19,182.013,LEFT
20,192.013,LEFT
21,202.014,RIGHT
22,212.015,RIGHT
23,222.015,LEFT
24,232.016,LEFT
25,242.017,RIGHT
26,252.017,RIGHT
27,262.018,RIGHT
28,272.019,RIGHT
29,282.02,RIGHT
30,292.02,RIGHT
31,302.021,LEFT
32,312.022,RIGHT
33,322.022,RIGHT
34,332.023,LEFT
35,342.024,RIGHT
36,352.024,RIGHT
37,362.025,RIGHT
38,372.026,RIGHT
39,382.026,RIGHT
40,392.027,RIGHT
