trial,cue_time_s,label
1,2.001,LEFT
2,12.001,LEFT
3,22.002,LEFT
4,32.003,RIGHT
5,42.004,RIGHT
6,52.004,RIGHT
7,62.005,LEFT
8,72.006,LEFT
9,82.006,RIGHT
10,92.007,LEFT
11,102.008,LEFT
12,112.008,RIGHT
13,122.009,RIGHT
14,132.01,LEFT
15,142.01,LEFT
16,152.011,LEFT
17,162.012,RIGHT
18,172.012,LEFT
19,182.013,RIGHT
20,192.014,RIGHT
21,202.014,RIGHT
22,212.015,LEFT
23,222.016,RIGHT
24,232.016,RIGHT
25,242.017,RIGHT
26,252.018,RIGHT
27,262.018,RIGHT
28,272.019,LEFT
29,282.02,RIGHT
30,292.02,LEFT
31,302.021,RIGHT
32,312.022,LEFT
33,322.023,RIGHT
34,332.023,LEFT
35,342.024,LEFT
36,352.025,LEFT
37,362.025,LEFT
38,372.026,LEFT
39,382.027,RIGHT
40,392.027,RIGHT
